Title,Date,Start Time,End Time,Location,Description
DHRx - DHRx Primer,2025-03-20,10:00:00,10:30:00,106AB - Music City Center,"This session will prepare attendees for what’s to come and will provide a brief overview of artificial intelligence, telemedicine, clinical decision support systems, and more! ACPE Number: 0202-0000-25-114-L99-P/T Number of Hours: 0.5 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
BCSCP - In Record Time: Documentation for Compounding,2025-03-20,10:45:00,11:45:00,101AB - Music City Center,"An important component of USP Compliance is maintaining appropriate records, including Master Formulation Records and Compounding Records. These are needed for staff training and ensuring the quality of compounded sterile products, considering characteristics of the components such as compatibility and beyond-use dates. Attend this session to hear experts from both a health system and the community discuss compounding documentation best practices. ACPE Number: 0202-0000-25-098-L07-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
DHRx - Integration Summarization: Digital Health Solutions in the EHR,2025-03-20,10:45:00,11:30:00,106AB - Music City Center,"Data is all around us, but how can pharmacists use it to improve patient care? How do we ensure the data is being used efficiently within the electronic health recor d (EHR)? Attend this session to learn best practices in integrating digital health into the EHR. ACPE Number: 0202-0000-25-116-L04-P/T Number of Hours: 0.75 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
DHRx - Applications of Telemedicine in Chronic Disease Management,2025-03-20,11:45:00,12:30:00,106AB - Music City Center,"Diabetes, weight loss, and heart failure, oh my! Attend this s e ssion to see how pharmacists are remotely making a difference in the management of chronic disease states, including patient outcomes and how to be paid for those services. ACPE Number: 0202-0000-25-115-L01-P Number of Hours: 0.75 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
Advanced Physical Assessment Workshop,2025-03-20,12:00:00,17:00:00,103AB - Music City Center,"APhA is pleased to partner with the Medical College of Wisconsin School of Pharmacy to offer an Advanced Physical Assessment certificate training program. Its purpose is to develop pharmacists in all areas of pharmacy practice and to prepare pharmacists with comprehensive knowledge, skills, and resources necessary to diagnose and provide direct patient care. Diagnosing and prescribing are part of the new ACPE 2025 Standards, for PharmD graduates. This live workshop, accredited by APhA and hosted in collaboration with the Medical College of Wisconsin School of Pharmacy, is t he second component of the Advanced Physical Assessment Certificate Training Program. This interactive learning seminar will focus on pharmacy practice implementation and diagnostic techniques. At the completion of this session, participants will be able to perform physical assessments and techniques.  An individual self-directed assessment will be reviewed by faculty for completion and competency. You must register in advance to participate in this program and complete the online self-study component prior to attending the live workshop. https://learn.pharmacist.com/pages/21/apha-learning-library-home?ctl11=category_id-72 This workshop is being held in conjunction with APhA's Annual Meeting , however, r egistration for annual meeting is not required to register for this program."
BCSCP - We are Quality: I got C.A.P.A. with me!,2025-03-20,12:30:00,13:30:00,101AB - Music City Center,"Despite our best efforts, to err is human and deviations from sterile compounding best practices are bound to occur. What the institution does following such errors is of utmost importance and is addressed in the USP <797> standards. Join experts as they discuss implementation of Corrective and Preventative Action Plans (CAPAs) to ensure the quality of programs for compounding sterile products. ACPE Number: 0202-0000-25-099-L07-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
DHRx - Practice Makes Perfect: Applications of AI Panel,2025-03-20,13:30:00,14:30:00,106AB - Music City Center,"The panel will cover artificial intelligence from a variety of angles, including patient care, electronic health record management, and the patient experience. Listen to how artificial intelligence plays a role in a variety of aspects of patient care . This panel will encourage attendees to consider practical applications of AI and its implications for the future of pharmacy. This session does not offer CPE credit."
BCSCP - Sterility on Trial: Ensuring Safety in Compounding Components,2025-03-20,13:45:00,14:45:00,101AB - Music City Center,"Thanks to industry standards such as the USP, institutions have resources to understand best practices for the process of compounding sterile products. However, once a product is compounded, how do we ensure the quality of final forms or the containers they are placed in? In this session, hear an expert from a testing facility discuss best practices for evaluating safety and quality of components used in sterile compounding. ACPE Number: 0202-0000-25-100-L07-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
Registration,2025-03-20,14:00:00,16:00:00,Exhibit Hall CD Foyer - Music City Center,
APhA House of Delegates Office Hours,2025-03-20,15:00:00,18:00:00,Board Room A - Music City Center,
Federal Caucus,2025-03-20,15:00:00,17:00:00,Music Row 3 - Omni Nashville,
BCSCP - Examining FDA Guidance Documents: Key Expectations for Sterile Compounding,2025-03-20,15:00:00,16:00:00,101AB - Music City Center,"FDA guidance documents exist to provide the FDA’s current thinking on topics. These guidance documents can hold differences in expectations for compounding operations and quality compared to USP standards. Join this session to gain a deeper understanding of FDA’s expectations in compounding and you can be prepared to meet those expectations. ACPE Number: 0202-0000-25-101-L07-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
DHRx - I Had Some Help: Clinical Decision Support Tools,2025-03-20,15:00:00,15:45:00,106AB - Music City Center,Clinical decision support systems are revolutionizing patient care. Hear from a pharmacist who is leveraging this technology wit h pharmacogenomic s to optimize medication selection for patients. This session does not offer CPE credit.
DHRx - Wildest Dreams: PBM Partnerships in Digital Health,2025-03-20,16:00:00,16:45:00,106AB - Music City Center,"Sustainable payment models are critical to ensuring the future of digital patient engagement. This session examines how PBMs and system stakeholders can serve as key partners in creating pathways for reimbursement in the digital health space. By focusing on the core pillars of demonstrating value, proving clinical efficacy, workflow integration, and understanding the reimbursement landscape, this discussion will highlight a real-world case study of how a digital health solution successfully navigated these challenges. Attendees will gain actionable insights into aligning clinical outcomes with payer priorities, overcoming barriers to adoption, and building scalable, sustainable models for value-based digital engagement. Designed for providers, innovators, and payers, this session provides a roadmap to financial sustainability while maximizing patient impact. This session does not offer CPE credit."
BCSCP - Immediate-Use Compounding: Preserving Quality Outside the Cleanroom Environment,2025-03-20,16:15:00,17:15:00,101AB - Music City Center,"When medications are needed STAT, maintaining compounding compliance standards may not be top of mind. However, it is always important for patients to receive quality medications that have been safely prepared, no matter the urgency. Join this session with experts who will discuss maintaining compliance with immediate-use compounding in a variety of practice settings which include other roles besides pharmacists. ACPE Number: 0202-0000-25-102-L07-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
APhA Reception for NASPA,2025-03-20,17:00:00,18:30:00,Music Row 5 - Omni Nashville,
"Celebrating Our Strong Tradition, Embracing Our Dynamic Future (ticket required)",2025-03-20,19:00:00,22:00:00,Legends Ballroom D - Omni Nashville,"Join us in celebrating 60 years of leadership and legacy, as we reflect on the individuals who have shaped our journey and paved the way, creating a legacy of strength, innovation, and progress. Come celebrate with us the rich history of pharmacy practice (APhA Academy of Pharmacy Practice and Management) and the science and research (APhA Academy of Pharmaceutical Research and Science) academies. We will also be celebrating an exciting new chapter that includes the transition to the new APhA member engagement structure that empowers individuals and strengthens our home of pharmacy, APhA, for future years to come. You are cordially invited to be part of this special occasion—whether you're a past, current, or future leader, member volunteer, and/or champion of APhA’s cause. Enjoy a selection of light hors d'oeuvres along with a variety of refreshing beverages. Attire is business or business casual. Let’s celebrate where we've been, where we are, and where we're going!"
Registration,2025-03-21,07:00:00,20:00:00,Exhibit Hall CD Foyer - Music City Center,
APhA House of Delegates Office Hours,2025-03-21,07:30:00,15:00:00,Board Room A - Music City Center,
APhA-ASP Delegates to APhA House Caucus (closed session),2025-03-21,08:00:00,09:00:00,205B - Music City Center,"Closed session - by invitation only Speaker of the House: Stephen Presti, APhA-ASP"
Purdue Meeting Room,2025-03-21,08:00:00,17:00:00,203AB - Music City Center,
Federal Pharmacy Sessions,2025-03-21,08:00:00,11:30:00,104DE - Music City Center,"Join your Federal Pharmacy colleagues for sessions developed specifically for pharmacists and pharmacy technicians working in federal pharmacy practice. Moderator, Adele Pietrantoni 8:00am-8:15am Welcome 8:15am-9:00am Federal Pharmacy Chiefs Panel 9:00am-10:00am New Drug Technologies: Evolution of Disease Treatment from Medications to Technological Advances 10:30-11:30am Risks to the United States Pharmaceutical Supply Chain"
Nuclear - Updates in PET,2025-03-21,08:00:00,10:00:00,201AB - Music City Center,"Many new tracers have come to market , and other s are racing down the development pipeline . Attend this session to l earn about the recent happenings in PET radiopharmaceuticals a s well as how to align with “ industry standards or best practices ”. ACPE Number: 0202-0000-25-117-L03-P Number of Hours: 2 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
APhA/WSU Pharmacy-Based Immunization Administration by Pharmacy Technicians,2025-03-21,08:00:00,12:00:00,103AB - Music City Center,"The APhA/WSU* Pharmacy-Based Immunization Administration by Pharmacy Technicians training program explores the expanding role of the pharmacy technician by providing additional skills training to administer immunizations. This component of the APhA’s Pharmacy-Based Immunization Administration by Pharmacy Technicians advanced training program is a 4-hour active learning session focusing on pharmacy practice implementation. The live event reinforces and expands on the self-study program and addresses areas such as distraction techniques during immunization administration and managing a vaccine reaction emergency. Learners will be expected to practice giving intramuscular and subcutaneous injections. *Originally developed by Washington State University (WSU) and revised through a partnership between WSU and the American Pharmacists Association (APhA). This activity is supported by independent educational grants from GSK and Sanofi. This program is only offered in-person in Nashville. There is NOT a virtual option to attend . You must register in advance to attend this program. https://learn.pharmacist.com/pages/21/apha-learning-library-home?ctl11=category_id-72 This is being held in conjunction with APhA's Annual Meeting , however, r egistration for annual meeting is not required to register for this program."
APhA's The Pharmacist and Patient-Centered Diabetes Care Certificate Training Program,2025-03-21,08:00:00,12:00:00,102AB - Music City Center,"The Pharmacist and Patient-Centered Diabetes Care Certificate Training Program, is an educational experience designed to equip pharmacists with the knowledge, skills, and confidence needed to provide effective, evidence-based diabetes care. The program provides comprehensive instruction in current diabetes concepts and standards of care and incorporates case studies and hands-on skills training focused on the situations most likely to be encountered—as well as the services most needed—in community and ambulatory care practice settings. Participants will gain experience evaluating and adjusting drug therapy regimens for patients with type 1 and type 2 diabetes, counseling patients about lifestyle interventions, analyzing and interpreting self-monitoring of blood glucose results, and assessing the overall health status of patients to identify needed monitoring and interventions. Comprised of a 4-hour self-study and a 4-hour live seminar , this program provides a total of 8-hours of CPE credit. This program is only offered in-person in Nashville. There is NOT a virtual option to attend . You must register in advance to attend this program. https://learn.pharmacist.com/pages/21/apha-learning-library-home?ctl11=category_id-72 This is being held in conjunction with APhA's Annual Meeting , however, r egistration for annual meeting is not required to register for this program."
Wellness Lounge,2025-03-21,08:00:00,17:00:00,210 - Music City Center,"Take a moment for yourself at the Well-being Room, a dedicated space designed to help you relax, recharge, and refocus during APhA2025. Whether you need a quiet break, a guided mindfulness session, or simple breathing exercises to reset your energy, this space offers a peaceful retreat. Drop in anytime during APhA2025 to unwind, explore stress-relief techniques, and return to your meeting feeling refreshed and recharged."
Federal Pharmacy Chiefs Panel 2025,2025-03-21,08:15:00,09:00:00,104DE - Music City Center,"The theme of the 2025 American Pharmacists Association Annual Meeting is “Igniting Innovation” which appropriately serves as an opportunity for Federal Pharmacy senior leaders to personnally update meeting attendees  about significant strategic initiatives, challenges faced and opportunities for collaboration for all branches of the United States Armed Forces, U.S. Coast Guard, Department of Veterans Affairs and  the United  States Public Health Service.  This panel session will provide  an educational venue for pharmacists and pharmacy technicians to hear directly from their chief pharmacy officers. This sesssion includes a moderator led panel discussion to include topics on significant collaborative opportunities among the federal pharmacy community, readiness, clinical pharmacy practice,  artifical intelligence (Ai) and its impact on federal pharmacy practice, creating healthy work environments and procedures and policies being developed that mitigate staff burnout. The panel session will end with the opportunity for audience interaction (Q&A) with the federal pharmacy chiefs. ACPE Number: 0202-0000-25-124-L04-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
APhA-APRS Keynote: Leveraging technological automation in pharmacy practice.,2025-03-21,09:00:00,10:00:00,103C - Music City Center,"Various automation technologies have been developed and applied in many areas in healthcare including medication management, pharmacy operations, patient coordination, communication and organizational productivity. This session will review how technological automation is being leveraged and studied to guide pharmaceutical outcomes research, policy, and practice in the future. ACPE Number: 0202-0000-25-095-L04-P Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
Country Roads to Care: Pharmacists' Role in Reproductive Health,2025-03-21,09:00:00,10:00:00,105AB - Music City Center,"The role of pharmacists in reproductive health has evolved significantly over the years, expanding from education to prescribing contraceptives. This session will address the community pharmacist's role in reproductive health, including educating patients on over-the-counter contraceptives, emergency contraception and identifying resources for sexual health concepts. ACPE Number: 0202-0000-25-035-L01-P Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
"A year spent, still competent?: Annual competencies",2025-03-21,09:00:00,10:00:00,106AB - Music City Center,"The latest USP standards require staff to b e evaluated as competent for thei r roles in compounding on at least an a nnual basis. There is a wide range of how practice sites are handling this requirement. Attend this session to hear about best practices for maintaining a nnual c ompetencies will be discussed, including what activities should be implemented and how competence is documented appropriately. ACPE Number: 0202-0000-25-065-L07-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
Achy Breaky Arteries: Managing Hyperlipidemia and ASCVD,2025-03-21,09:00:00,10:00:00,101AB - Music City Center,"Cardiovascular disease remains the leading cause of death in the United States, with atherosclerotic cardiovascular disease ( ASCVD) accounting for a significant proportion of these cases. Understanding both established and emerging treatment options is essential for pharmacists. By staying informed about the full range of therapies, you can better tailor treatments to individual patients, optimize outcomes, and contribute to reducing the prevalence and impact of ASCVD. ACPE Number: 0202-0000-25-036-L01-P Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships. This activity is supported by an independent educational grant from Novartis."
I got 99 problems and 340B ain't one,2025-03-21,09:00:00,10:00:00,104ABC - Music City Center,"The availability of 340B funding is diminishing while the number of patients needing care persists. Last year's 340B session at APhA2024 highlighted challenges facing grantees. This year, hear from a grantee who is overcoming funding challenges and making sustainable changes to their practice to continue patient care. ACPE Number: 0202-0000-25-080-L04-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
Walgreens Resident Forum,2025-03-21,09:00:00,11:00:00,Cumberland 1 - Omni Nashville,
NKF Workgroup for Implementation of Race-Free eGFR-Based Medication-Related Decisions (invite only),2025-03-21,09:00:00,11:00:00,Cumberland 2 - Omni Nashville,
PharmTalk®: Inspiration from the Next Generation of Pharmacy,2025-03-21,09:00:00,09:45:00,101C - Music City Center,"Student pharmacists and pharmacy residents have new and diverse perspectives coupled with a wealth of knowledge to share. Attend this session to hear from the next generation of pharmacy and how they are impacting the profession and patient outcomes. ACPE Number: 0202-0000-25-108-L99-P Number of Hours: 0.75 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
PharmTalk® - Transitioning from Value-Based Care to Care-Based Values: Leading with Heart,2025-03-21,09:00:00,09:45:00,101C - Music City Center,This presentation is an accepted proposal from the Inspiration from the Next Generation of Pharmacy PharmTalk category.
PharmTalk® - Creating Safe Spaces: Strategies for Pharmacies to Improve Care for Transgender and Gender Diverse Patients,2025-03-21,09:00:00,09:45:00,101C - Music City Center,This presentation is an accepted proposal from the Inspiration from the Next Generation of Pharmacy PharmTalk category.
PharmTalk® - Turn Passion into Purposeful Action: Rediscovering Your Passion and Purpose in Pharmacy,2025-03-21,09:00:00,09:45:00,101C - Music City Center,This presentation is an accepted proposal from the Inspiration from the Next Generation of Pharmacy PharmTalk category.
APhA Meeting the Requirements: Quality Improvement,2025-03-21,09:00:00,11:00:00,106C - Music City Center,"APhA Meeting the Requirements (MTR): Quality Improvement is a pharmacy residency education and training program created to assist programs with learning, practicing, and applying skills for quality improvement of your residency program. Participants engage in an interactive experience that guides you through the review, analysis, evaluation, and quality improvement of your program structure and materials, including learning experience descriptions, resident development plans, and formative and summative evaluations. Join this can’t miss series to meet with experts in small group sessions for targeted input on your program with easy-to-use checklists and thoughtful strategies to achieve accreditation standards. The training program is designed for pharmacy residency directors, coordinators, preceptors, and other individuals involved in an existing pharmacy residency program administration and coordination. It is expected that participants have baseline knowledge of pharmacy residency program administration and facilitation. APhA MTR is ACPE-accredited and is comprised of a 2-hour home-study and a 2-hour live seminar for a total of 4 hours of CPE credit for pharmacists. You must register in advance to attend this program. https://learn.pharmacist.com/pages/21/apha-learning-library-home?ctl11=category_id-72 This is being held in conjunction with APhA's Annual Meeting , however, r egistration for annual meeting is not required to register for this program."
Evolution of Disease Treatment from Medications to Technological Advances,2025-03-21,09:00:00,10:00:00,104DE - Music City Center,"This presentation will provide an overview of the evolution of disease treatments related to medications to new drug technological advances in areas such as implantable, gene therapy, artificial intelligence, therapeutic vaccines, have the potential to cure many diseases, and supplant lifelong medication use with fewer side effects and lower cost. This presentation will introduce the audience to some of the most rapidly developing and promising technologies that we have to be compared to drug therapy in the future. The session will conclude with an opportunity for audience Q&A with the presenters. ACPE Number: 0202-0000-25-125-L01-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
APhA-ASP Annual Meeting First Timers Session,2025-03-21,09:30:00,10:30:00,202 - Music City Center,"Are you new to the APhA Annual Meeting & Exposition? Network with other first-time attendees and learn about the must see programming during APhA2025. Gain insight on developing your networking skills and advancing your career development throughout the meeting! Speaker: Bobby Christodoulopoulos, PharmD"
APhA New Practitioner Community: Welcome Session,2025-03-21,10:00:00,11:00:00,101DE - Music City Center,Kick-off APhA2025 with a welcome event specifically for New Practitioners. Learn more about what the New Practitioner Community has been up to and what we look forward to in 2025-2026!
Networking Session: Pharmacists impacting public health,2025-03-21,10:00:00,10:30:00,104-106 Hallway - Music City Center,"Pharmacists play a vital role in shaping public health, and APhA2025 provides the perfect space to connect and collaborate on this important topic. Join this unstructured networking session to exchange ideas, discuss innovative public health initiatives, and share best practices with fellow professionals. Whether you're passionate about health equity, disease prevention, or community outreach, this is your chance to engage in meaningful conversations, reflect on education sessions, and expand your network. Let’s connect, inspire, and drive the future of public health—together! The networking sessions at APhA 2025 are designed to give you a chance to network and connect in whatever way you’d like. They are not moderated or structured. Feel free to talk about an education session you just attended, talk about a common practice interest, exchange thoughts on best practices, or simply network and catch up with (or make new) friends."
Networking Session: CVD Risk Reduction,2025-03-21,10:00:00,10:30:00,101-103 Hallway - Music City Center,"Looking to exchange ideas and insights on cardiovascular risk reduction? Join us for an open networking session designed to foster meaningful connections. This unstructured gathering provides a space for pharmacists, student pharmacists, technicians, and scientists to discuss best practices, share experiences, and explore innovative approaches to improving patient outcomes. Whether you're reflecting on an education session, seeking fresh perspectives, or simply looking to expand your professional network, this is your opportunity to engage with like-minded peers in an informal setting. Don’t miss this chance to connect, collaborate, and inspire change! The networking sessions at APhA 2025 are designed to give you a chance to network and connect in whatever way you’d like. They are not moderated or structured. Feel free to talk about an education session you just attended, talk about a common practice interest, exchange thoughts on best practices, or simply network and catch up with (or make new) friends."
APhA-ASP Power of Student Pharmacists Showcase,2025-03-21,10:00:00,10:45:00,Karl Dean Ballroom Foyer - Music City Center,"Network and get inspired as you explore the innovations of APhA-ASP chapters, meet the candidates for APhA-ASP National Office, and discover how to use your skills to serve the community."
Not Just 9 to 5 on Medication Safety,2025-03-21,10:30:00,11:30:00,104ABC - Music City Center,"The Institute for Safe Medication Practices (ISMP) added three new practices to the 2024-2025 Targeted Medication Safety Best Practices for Hospitals. They also published Targeted Medication Safety Best Practices for Community Pharmacy in 2023-24. Are you proactively implementing processes at your pharmacy or institution to reduce medication errors and patient harm? Attend this session to hear from the ISMP about recent updates, how to evaluate your pharmacy or institution, and measure the success of your implementation. ACPE Number: 0202-0000-25-040-L05-P/T Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
Highway to the Danger Zone? Anticoagulants in Older Adults,2025-03-21,10:30:00,11:30:00,101AB - Music City Center,"Anticoagulants have been shown to significantly reduce the risk of stroke in atrial fibrillation, however in older adults the class has historically been underused due to a perceived risk of adverse effects. Older adults have an increased incidence of bleeding with anticoagulation therapy, with factors such as polypharmacy, vascular changes, and renal/hepatic dysfunction influencing bleeding risk. Join us for this case-based session designed to discuss key considerations for providing safe and effective anticoagulation therapy for older adults. ACPE Number: 0202-0000-25-052-L01-P Number of Hours: 1 Activity Type: Application-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
Red Solo CUP: Communicating with Underserved Patients,2025-03-21,10:30:00,11:30:00,105AB - Music City Center,"Each patient that pharmacy professionals encounter has unique needs that impact how they approach their health. In this session, learn about communication strategies for underserved populations with requirements beyond health care and discuss how to work with those patients to find tools for those needs. Additionally, learn how to recognize implicit bias and determine how to overcome it to provide improved care. ACPE Number: 0202-0000-25-054-L04-P Number of Hours: 1 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
Straight from the Source: APhA-APRS All Sections Contributed Papers Podium Session 1,2025-03-21,10:30:00,12:00:00,103C - Music City Center,"Pharmacy researchers continually unlock vital new discoveries and game-changing insights. Hear research updates directly from the ESAS, Basic and Clinical investigators as they present their findings in the first of two sessions related to all sections. Be sure to stick around for the in-depth Q&A. ACPE Number: 0202-0000-25-089-L04-P/T Number of Hours: 1.5 Activity Type: Knowledge-based View speaker profiles for disclosure of financial relationships. If disclosures are not listed, the speaker has no financial relationships."
